game_id,season,week,site,kickoff_local,temp,wind,gust,precip
2021_05_IND_BAL,2021,5,BAL,2021-10-11 20:00:00,67.4,1.9,11.2,0.0
2021_06_LAC_BAL,2021,6,BAL,2021-10-17 13:00:00,61.0,14.7,27.3,0.0
2021_07_CIN_BAL,2021,7,BAL,2021-10-24 13:00:00,60.2,7.4,15.2,0.0
2021_09_MIN_BAL,2021,9,BAL,2021-11-07 13:00:00,54.0,6.1,16.3,0.0
2021_12_CLE_BAL,2021,12,BAL,2021-11-28 20:00:00,41.3,4.5,8.7,0.0
2021_15_GB_BAL,2021,15,BAL,2021-12-19 16:00:00,42.8,13.4,25.5,0.0
2021_17_LA_BAL,2021,17,BAL,2022-01-02 13:00:00,62.4,7.8,14.8,0.0
2021_18_PIT_BAL,2021,18,BAL,2022-01-09 13:00:00,41.4,5.4,11.2,0.043
2022_02_MIA_BAL,2022,2,BAL,2022-09-18 13:00:00,80.2,5.4,13.2,0.0
2022_04_BUF_BAL,2022,4,BAL,2022-10-02 13:00:00,56.8,13.9,23.7,0.114
2022_05_CIN_BAL,2022,5,BAL,2022-10-09 20:00:00,51.6,4.3,8.3,0.0
2022_07_CLE_BAL,2022,7,BAL,2022-10-23 13:00:00,61.3,7.3,13.6,0.0
2022_11_CAR_BAL,2022,11,BAL,2022-11-20 13:00:00,34.1,15.2,27.7,0.0
2022_13_DEN_BAL,2022,13,BAL,2022-12-04 13:00:00,43.7,4.6,11.4,0.0
2022_16_ATL_BAL,2022,16,BAL,2022-12-24 13:00:00,16.5,14.7,30.6,0.0
2022_17_PIT_BAL,2022,17,BAL,2023-01-01 20:00:00,50.2,4.2,8.3,0.0
2023_01_HOU_BAL,2023,1,BAL,2023-09-10 13:00:00,72.4,3.7,10.7,0.031
2023_03_IND_BAL,2023,3,BAL,2023-09-24 13:00:00,65.4,6.1,13.4,0.039
2023_07_DET_BAL,2023,7,BAL,2023-10-22 13:00:00,59.7,15.8,30.4,0.0
2023_09_SEA_BAL,2023,9,BAL,2023-11-05 13:00:00,69.8,5.6,12.8,0.0
2023_10_CLE_BAL,2023,10,BAL,2023-11-12 13:00:00,47.1,4.9,13.4,0.0
2023_11_CIN_BAL,2023,11,BAL,2023-11-16 20:00:00,47.4,7.1,8.7,0.0
2023_14_LA_BAL,2023,14,BAL,2023-12-10 13:00:00,57.7,7.9,13.6,0.087
2023_17_MIA_BAL,2023,17,BAL,2023-12-31 13:00:00,46.2,8.3,17.2,0.0
2023_18_PIT_BAL,2023,18,BAL,2024-01-06 16:00:00,37.1,13.8,26.4,0.098
2023_20_HOU_BAL,2023,20,BAL,2024-01-20 16:00:00,22.9,14.5,30.0,0.0
2023_21_KC_BAL,2023,21,BAL,2024-01-28 15:00:00,43.9,9.6,18.3,0.004
2024_02_LV_BAL,2024,2,BAL,2024-09-15 13:00:00,77.5,8.3,18.8,0.0
2024_04_BUF_BAL,2024,4,BAL,2024-09-29 20:00:00,66.4,10.1,18.1,0.008
2024_06_WAS_BAL,2024,6,BAL,2024-10-13 13:00:00,76.1,9.1,18.3,0.0
2024_09_DEN_BAL,2024,9,BAL,2024-11-03 13:00:00,55.0,2.5,10.5,0.0
2024_10_CIN_BAL,2024,10,BAL,2024-11-07 20:00:00,62.3,5.5,11.6,0.0
2024_13_PHI_BAL,2024,13,BAL,2024-12-01 16:00:00,39.3,7.3,22.1,0.0
2024_16_PIT_BAL,2024,16,BAL,2024-12-21 16:00:00,33.5,13.1,30.6,0.0
2024_18_CLE_BAL,2024,18,BAL,2025-01-04 16:00:00,28.9,16.3,35.6,0.0
2024_19_PIT_BAL,2024,19,BAL,2025-01-11 20:00:00,26.8,10.4,21.0,0.0
2025_02_CLE_BAL,2025,2,BAL,2025-09-14 13:00:00,79.9,3.4,12.5,0.0
2025_03_DET_BAL,2025,3,BAL,2025-09-22 20:00:00,68.4,4.0,8.1,0.0
2025_05_HOU_BAL,2025,5,BAL,2025-10-05 13:00:00,75.2,3.3,12.1,0.0
2025_06_LA_BAL,2025,6,BAL,2025-10-12 13:00:00,65.9,13.4,31.1,0.0
2025_08_CHI_BAL,2025,8,BAL,2025-10-26 13:00:00,59.5,1.4,8.5,0.0
