decay,prior,alpha,ridge,team_mae,margin_mae,total_mae,ats_bets,ats_pct,ats_roi,ou_bets,ou_pct,ou_roi,brier,n
0.96,0.5,8.0,10.0,7.4876772964125,10.173376245107685,10.775163456140517,273.0,0.4981684981684982,-0.0489510489510489,199.0,0.5025125628140703,-0.0406578346276839,0.2222182028792319,1055
0.96,0.8,2.0,1.0,7.507055746890995,10.206178337500427,10.812555988380351,333.0,0.4954954954954955,-0.054054054054054,210.0,0.5,-0.0454545454545454,0.2224230179311913,1055
0.96,0.8,2.0,3.0,7.506307722642103,10.20512271527325,10.810526830198096,330.0,0.5,-0.0454545454545454,210.0,0.5,-0.0454545454545454,0.2223812601921309,1055
0.96,0.8,2.0,10.0,7.5043163044537025,10.202104583732368,10.80549344870008,328.0,0.4939024390243902,-0.0570953436807095,208.0,0.5,-0.0454545454545454,0.2222744830827574,1055
0.96,0.8,4.0,1.0,7.505786667985524,10.204906466744532,10.809787042319105,329.0,0.5015197568389058,-0.0425531914893617,210.0,0.5047619047619047,-0.0363636363636363,0.2224192460760562,1055
0.96,0.8,4.0,3.0,7.505018137431925,10.203799900376763,10.807804739700709,327.0,0.4984709480122324,-0.0483736447039199,207.0,0.5072463768115942,-0.0316205533596838,0.2223773315155599,1055
0.96,0.8,4.0,10.0,7.502971847969941,10.200819017388149,10.802936530370683,317.0,0.4889589905362776,-0.0665328362489246,208.0,0.5,-0.0454545454545454,0.2222701128934189,1055
0.96,0.8,8.0,1.0,7.504707604384219,10.205775659947822,10.806328582105152,321.0,0.5015576323987538,-0.0424808836023789,213.0,0.5164319248826291,-0.0140845070422535,0.2224322485357031,1055
0.96,0.8,8.0,3.0,7.503980139422691,10.20454731731512,10.80445729184623,316.0,0.4968354430379746,-0.0514959723820483,212.0,0.5188679245283019,-0.0094339622641509,0.2223908877183444,1055
0.96,0.8,8.0,10.0,7.502009294549001,10.201248344653258,10.799734526196062,313.0,0.4920127795527156,-0.060702875399361,209.0,0.5215311004784688,-0.0043497172683775,0.2222848975680325,1055
0.99,0.3,2.0,1.0,7.500497833308523,10.191383896984975,10.801065690566531,292.0,0.4931506849315068,-0.0585305105853051,199.0,0.4824120603015075,-0.0790315212425765,0.2225135200574808,1055
0.99,0.3,2.0,3.0,7.500001559888765,10.190513601336916,10.799845908527104,290.0,0.493103448275862,-0.0586206896551724,199.0,0.4824120603015075,-0.0790315212425765,0.2224798697551212,1055
0.99,0.3,2.0,10.0,7.4986638794518194,10.188070002348155,10.796674917306971,283.0,0.4946996466431095,-0.0555734018631545,196.0,0.4846938775510204,-0.0746753246753246,0.2223917586426133,1055
0.99,0.3,4.0,1.0,7.49978510901623,10.193567559506112,10.797342165692434,280.0,0.4928571428571429,-0.0590909090909091,203.0,0.4827586206896552,-0.0783699059561128,0.2226489887881559,1055
0.99,0.3,4.0,3.0,7.499299153570205,10.192670747502332,10.796179247060335,280.0,0.4928571428571429,-0.0590909090909091,202.0,0.4801980198019802,-0.0832583258325832,0.222616645011615,1055
0.99,0.3,4.0,10.0,7.497974982148181,10.190040948396812,10.79297904168081,279.0,0.4910394265232975,-0.0625610948191593,201.0,0.4776119402985074,-0.0881953867028493,0.2225317596396015,1055
0.99,0.3,8.0,1.0,7.499769889346619,10.199943976527829,10.792287281975735,285.0,0.4842105263157895,-0.0755980861244019,202.0,0.4801980198019802,-0.0832583258325832,0.2228494737046736,1055
