season,window,team,model_wins,actual,line,vegas_wins,blend_wins
2023,2023-25,WAS,7.2487,4.0,6.5,6.34,6.79435
2024,2023-25,ARI,7.2365,8.0,7.0,7.21,7.22325
2024,2023-25,ATL,8.8932,8.0,9.5,9.71,9.3016
2024,2023-25,BAL,10.7095,12.0,10.5,10.39,10.54975
2024,2023-25,BUF,10.2723,13.0,10.0,10.0,10.13615
2024,2023-25,CAR,5.147,5.0,5.5,5.71,5.4285
2024,2023-25,CHI,7.9207,5.0,8.5,9.03,8.475349999999999
2024,2023-25,CIN,9.2193,9.0,10.5,10.39,9.80465
2024,2023-25,CLE,8.6392,3.0,8.5,8.86,8.749600000000001
2024,2023-25,DAL,10.7558,7.0,10.0,9.74,10.247900000000001
2024,2023-25,DEN,6.4048,10.0,5.5,6.07,6.2374
2024,2023-25,DET,9.4873,15.0,10.5,10.71,10.09865
2024,2023-25,GB,10.1538,11.0,10.0,9.89,10.0219
2024,2023-25,HOU,8.4648,10.0,9.5,9.81,9.1374
2024,2023-25,IND,7.8332,8.0,8.5,8.24,8.0366
2024,2023-25,JAX,8.5422,4.0,8.5,8.5,8.5211
2024,2023-25,KC,10.995,15.0,11.5,11.5,11.247499999999999
2024,2023-25,LA,8.8093,10.0,8.5,9.07,8.93965
2024,2023-25,LAC,8.3283,11.0,9.0,8.74,8.53415
2024,2023-25,LV,8.418,4.0,6.5,6.66,7.539
2024,2023-25,MIA,9.0605,8.0,10.0,9.89,9.475249999999999
2024,2023-25,MIN,7.419,14.0,6.5,6.81,7.1145
2024,2023-25,NE,6.9828,4.0,4.5,4.5,5.7414000000000005
2024,2023-25,NO,9.883,5.0,7.5,7.5,8.6915
2024,2023-25,NYG,7.6355,3.0,6.5,6.1,6.86775
2024,2023-25,NYJ,8.8765,5.0,9.5,9.81,9.343250000000001
2024,2023-25,PHI,8.4603,14.0,10.5,10.9,9.680150000000001
2024,2023-25,PIT,7.4912,10.0,8.0,8.31,7.900600000000001
2024,2023-25,SEA,7.7798,10.0,7.5,7.99,7.8849
2024,2023-25,SF,10.9492,6.0,11.5,11.01,10.9796
2024,2023-25,TB,9.402,10.0,7.5,7.81,8.606
2024,2023-25,TEN,6.6855,3.0,6.5,6.19,6.43775
2024,2023-25,WAS,5.1443,12.0,6.5,6.5,5.822150000000001
2025,2023-25,ARI,9.4785,3.0,8.5,8.66,9.06925
2025,2023-25,ATL,8.0333,8.0,8.5,8.29,8.16165
2025,2023-25,BAL,11.3003,8.0,11.5,11.59,11.44515
2025,2023-25,BUF,11.775,12.0,12.5,12.24,12.0075
2025,2023-25,CAR,5.8712,8.0,6.5,6.8,6.3355999999999995
2025,2023-25,CHI,6.5522,11.0,8.5,8.22,7.386100000000001
2025,2023-25,CIN,9.4165,6.0,9.5,9.55,9.48325
2025,2023-25,CLE,5.7468,5.0,4.5,4.88,5.3134
2025,2023-25,DAL,7.4083,7.5,7.5,7.29,7.34915
2025,2023-25,DEN,9.8142,14.0,9.5,9.61,9.7121
2025,2023-25,DET,10.2952,9.0,10.5,10.26,10.2776
2025,2023-25,GB,10.103,9.5,10.5,10.35,10.2265
2025,2023-25,HOU,8.3845,12.0,9.5,9.34,8.86225
2025,2023-25,IND,7.603,8.0,7.5,7.39,7.496499999999999
2025,2023-25,JAX,7.6112,13.0,7.5,7.76,7.6856
2025,2023-25,KC,9.6927,6.0,11.5,11.2,10.446349999999999
2025,2023-25,LA,9.3033,12.0,9.5,9.83,9.56665
2025,2023-25,LAC,9.8005,11.0,9.5,9.39,9.59525
2025,2023-25,LV,7.4618,3.0,6.5,6.88,7.1709
2025,2023-25,MIA,9.0043,7.0,7.5,7.5,8.25215
2025,2023-25,MIN,6.9302,9.0,9.5,9.22,8.0751
2025,2023-25,NE,6.9642,14.0,8.5,8.5,7.7321
2025,2023-25,NO,5.9542,6.0,4.5,4.83,5.3921
2025,2023-25,NYG,6.79,4.0,5.5,5.61,6.2
2025,2023-25,NYJ,7.1655,3.0,6.5,6.17,6.66775
2025,2023-25,PHI,10.8705,11.0,11.5,11.34,11.10525
2025,2023-25,PIT,8.3998,10.0,8.5,8.61,8.5049
2025,2023-25,SEA,8.3835,14.0,8.5,8.34,8.36175
2025,2023-25,SF,9.816,12.0,10.5,10.41,10.113
2025,2023-25,TB,10.3972,8.0,9.5,9.55,9.973600000000001
2025,2023-25,TEN,6.131,3.0,6.5,6.17,6.1505
2025,2023-25,WAS,9.5422,5.0,9.5,9.45,9.496099999999998
