game_id,season,game_type,home_team,away_team,home_exp,away_exp,spread_line,total_line,home_qb_rating,away_qb_rating,home_n_games,model_spread,model_total,p_home,p_cover_home,p_over,sigma_margin,sigma_total,n_train,coef_home,coef_neutral,coef_dome,coef_wind_out,coef_cold,coef_rain,home_score,away_score,roof,temp,referee,weekday,gametime,margin,side_home,cover,won,resid,pick_qb_out,opp_qb_out,pick_starters_out,opp_starters_out,pick_home,pick_is_dog,pick_rest,opp_rest,wind,rain,cold,dome,primetime,div_game,week,n_games,edge,pick_qb_rating,opp_qb_rating,pick_body_clock,coach_ats,h2h,ref_home_cover,pick_resid,short
2020_14_ATL_LAC,2020,REG,LAC,ATL,22.77778168196316,27.223680836764174,1.0,49.0,0.05183334548348213,0.1142898544258257,12.0,-4.445899154801015,50.00146251872734,0.3785342503880233,0.3610086358271835,0.5295347943318613,13.132806079827049,13.514921161057364,4122,1.9039506142706957,0.14699146298944593,-0.1287290270846094,-0.1254348988330285,-0.24177037450839653,-1.260753258357067,20.0,17.0,dome,,Tony Corrente,Sunday,16:25,3.0,False,1.0,0.0,7.445899154801015,0.0,0.0,2.0,0.0,0.0,True,7,7,0.0,0.0,0.0,1.0,0.0,0.0,14,12.0,5.445899154801015,0.1142898544258257,0.05183334548348213,0.0,-0.7368421052631579,2.75,0.49076517150395776,7.445899154801015,2.0
2020_14_PIT_BUF,2020,REG,BUF,PIT,20.753818952806007,23.92758501259719,2.0,48.5,0.05300682321967283,0.14855314891310337,12.0,-3.173766059791184,44.6814039654032,0.41571858685594576,0.3770907171557065,0.3887621812352251,13.132806079827049,13.514921161057364,4122,1.9039506142706957,0.14699146298944593,-0.1287290270846094,-0.1254348988330285,-0.24177037450839653,-1.260753258357067,26.0,15.0,outdoors,35.0,Shawn Smith,Sunday,20:20,11.0,False,1.0,0.0,14.173766059791184,0.0,0.0,1.0,0.0,0.0,True,6,6,11.0,0.0,0.0,0.0,1.0,0.0,14,12.0,5.173766059791184,0.14855314891310337,0.05300682321967283,0.0,1.1153846153846154,3.5357142857142856,0.46078431372549017,14.173766059791184,9.0
2020_15_TB_ATL,2020,REG,ATL,TB,24.785564902208808,24.844938028777143,-6.0,49.5,0.11126120839555849,0.14321948347278596,13.0,-0.059373126568335266,49.630502930985955,0.5080226447755267,0.6984760557277474,0.503847956629224,13.155111962438308,13.529863930004343,4154,1.9102790677156491,0.03287576428311625,-0.10010778280319954,-0.11956240309512971,-0.09325447005359425,-1.2692792410477356,27.0,31.0,closed,,Brad Rogers,Sunday,13:00,-4.0,True,1.0,1.0,-3.9406268734316647,0.0,0.0,1.0,0.0,1.0,True,7,7,0.0,0.0,0.0,1.0,0.0,1.0,15,13.0,5.940626873431665,0.11126120839555849,0.14321948347278596,0.0,-0.75,-2.522727272727273,0.4782608695652174,-3.9406268734316647,2.0
2020_15_CLE_NYG,2020,REG,NYG,CLE,22.597886291930898,23.376922859942923,-6.0,44.5,-0.10510211568965792,0.06366224475311603,13.0,-0.7790365680120246,45.97480915187382,0.4864743086387261,0.6785313249577133,0.5434003371643447,13.155111962438308,13.529863930004343,4154,1.9102790677156491,0.03287576428311625,-0.10010778280319954,-0.11956240309512971,-0.09325447005359425,-1.2692792410477356,6.0,20.0,outdoors,36.0,Shawn Hochuli,Sunday,20:20,-14.0,True,-1.0,0.0,-13.220963431987975,0.0,0.0,0.0,2.0,1.0,True,7,6,0.0,0.0,0.0,0.0,1.0,0.0,15,13.0,5.220963431987975,-0.10510211568965792,0.06366224475311603,0.0,0.2358490566037736,0.8181818181818182,0.4752475247524752,-13.220963431987975,-8.0
2020_16_TB_DET,2020,REG,DET,TB,24.2512087742952,30.636121717796346,-12.0,55.0,0.07122623807298237,0.1459631231275292,14.0,-6.384912943501146,54.88733049209155,0.32294271136794883,0.6615694526886592,0.4966780003762956,13.149208623172145,13.530438305527037,4186,1.9068123039349743,0.009423326017795884,0.008299708347555522,-0.11239689426437592,-0.16444988631886492,-1.286884088544117,7.0,47.0,dome,,Scott Novak,Saturday,13:00,-40.0,True,-1.0,0.0,-33.61508705649885,0.0,0.0,0.0,1.0,1.0,True,6,6,0.0,0.0,0.0,1.0,0.0,0.0,16,14.0,5.615087056498854,0.07122623807298237,0.1459631231275292,0.0,-0.046511627906976744,1.3863636363636365,0.42045454545454547,-33.61508705649885,-28.0
2020_17_MIA_BUF,2020,REG,BUF,MIA,25.63013177677503,19.88874276333039,-3.5,42.5,0.08237109117454304,-0.02329508214052648,15.0,5.741389013444639,45.51887454010542,0.6752250590463273,0.775456694172131,0.5882469242653225,13.171656660956515,13.53526468070485,4218,1.885691642288335,0.009137835777538149,0.06513914034387933,-0.11150257628586402,-0.15285593718406545,-1.2771050441677496,56.0,26.0,outdoors,35.0,Bill Vinovich,Sunday,13:00,30.0,True,1.0,1.0,24.25861098655536,0.0,0.0,0.0,0.0,1.0,True,6,8,1.0,0.0,0.0,0.0,0.0,1.0,17,15.0,9.241389013444639,0.08237109117454304,-0.02329508214052648,0.0,0.7475728155339806,1.5408163265306123,0.49361702127659574,24.25861098655536,33.5
2020_17_BAL_CIN,2020,REG,CIN,BAL,18.542274357136353,26.401724062784012,-13.5,46.0,-0.034194476361881436,0.12938957394810083,15.0,-7.859449705647659,44.94399841992036,0.2844291087138398,0.6471648444708605,0.4689066528373067,13.171656660956515,13.53526468070485,4218,1.885691642288335,0.009137835777538149,0.06513914034387933,-0.11150257628586402,-0.15285593718406545,-1.2771050441677496,3.0,38.0,outdoors,39.0,Land Clark,Sunday,13:00,-35.0,True,-1.0,0.0,-27.14055029435234,0.0,0.0,0.0,0.0,1.0,True,7,7,10.0,0.0,0.0,0.0,0.0,1.0,17,15.0,5.640550294352341,-0.034194476361881436,0.12938957394810083,0.0,-0.4647887323943662,-0.7040816326530612,0.5,-27.14055029435234,-21.5
2020_17_PIT_CLE,2020,REG,CLE,PIT,21.57901998391738,18.524561065304777,10.5,45.0,0.06759532463228725,-0.06370108144984284,15.0,3.054458918612603,40.10358104922216,0.6001205868700528,0.25292748555981764,0.3587684094655852,13.171656660956515,13.53526468070485,4218,1.885691642288335,0.009137835777538149,0.06513914034387933,-0.11150257628586402,-0.15285593718406545,-1.2771050441677496,24.0,22.0,outdoors,38.0,Jerome Boger,Sunday,13:00,2.0,False,-1.0,1.0,-1.0544589186126032,1.0,0.0,2.0,1.0,0.0,True,7,7,7.0,0.0,0.0,0.0,0.0,1.0,17,15.0,7.445541081387397,-0.06370108144984284,0.06759532463228725,0.0,0.9942965779467681,3.510204081632653,0.5302491103202847,-1.0544589186126032,-8.5
2020_17_TEN_HOU,2020,REG,HOU,TEN,27.79114352548577,28.51887039222695,-7.0,55.5,0.13049686382761877,0.06263431372584183,15.0,-0.7277268667411825,56.31001391771272,0.48835739450726234,0.7274770985592991,0.5238603399176358,13.171656660956515,13.53526468070485,4218,1.885691642288335,0.009137835777538149,0.06513914034387933,-0.11150257628586402,-0.15285593718406545,-1.2771050441677496,38.0,41.0,closed,,Shawn Hochuli,Sunday,16:25,-3.0,True,1.0,1.0,-2.2722731332588175,0.0,0.0,0.0,0.0,1.0,True,7,7,0.0,0.0,0.0,1.0,0.0,1.0,17,15.0,6.2722731332588175,0.13049686382761877,0.06263431372584183,0.0,-1.4104477611940298,3.2093023255813953,0.47572815533980584,-2.2722731332588175,4.0
2020_17_LAC_KC,2020,REG,KC,LAC,25.481053164459077,20.568291897720055,-7.0,43.0,-0.11115237616902335,0.07935133627153486,15.0,4.912761266739022,46.04934506217913,0.6526359290933641,0.8534338226023405,0.5891227377909918,13.171656660956515,13.53526468070485,4218,1.885691642288335,0.009137835777538149,0.06513914034387933,-0.11150257628586402,-0.15285593718406545,-1.2771050441677496,21.0,38.0,outdoors,35.0,Clete Blakeman,Sunday,16:25,-17.0,True,-1.0,0.0,-21.91276126673902,0.0,0.0,3.0,0.0,1.0,True,7,7,6.0,0.0,0.0,0.0,0.0,1.0,17,15.0,11.912761266739022,-0.11115237616902335,0.07935133627153486,0.0,1.8682864450127876,2.3979591836734695,0.484304932735426,-21.91276126673902,-10.0
2021_01_SF_DET,2021,REG,DET,SF,24.840060064620513,26.35242888598465,-9.5,46.0,0.06323841207435348,0.12785885682014578,0.0,-1.512368821364138,51.19248895060517,0.46423220659645364,0.7486123749365365,0.6490176745468985,13.157853967516434,13.56911288425997,4276,1.870650541092301,-0.1626037163901105,-0.03267946698986477,-0.11959516613230069,-0.17860528569075826,-1.3136070452822888,33.0,41.0,dome,,Brad Rogers,Sunday,13:00,-8.0,True,1.0,1.0,-6.487631178635862,0.0,0.0,1.0,0.0,1.0,True,7,7,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,7.987631178635862,0.06323841207435348,0.12785885682014578,0.0,0.0,-1.8333333333333333,0.4861111111111111,-6.487631178635862,1.5
2021_01_JAX_HOU,2021,REG,HOU,JAX,23.692506884752298,21.491037256561363,-3.5,45.5,0.0028924638261748114,-0.05,0.0,2.201469628190935,45.18354414131366,0.5748831626818528,0.6894039156455711,0.4906967994547181,13.157853967516434,13.56911288425997,4276,1.870650541092301,-0.1626037163901105,-0.03267946698986477,-0.11959516613230069,-0.17860528569075826,-1.3136070452822888,37.0,21.0,closed,,Land Clark,Sunday,13:00,16.0,True,1.0,1.0,13.798530371809065,1.0,0.0,1.0,1.0,1.0,True,7,7,0.0,0.0,0.0,1.0,0.0,1.0,1,0.0,5.701469628190935,0.0028924638261748114,-0.05,0.0,0.0,1.9772727272727273,0.49333333333333335,13.798530371809065,19.5
2021_01_CHI_LA,2021,REG,LA,CHI,24.595428894917482,20.589128984671774,9.5,46.0,0.0728100913479199,0.01857603310036636,0.0,4.006299910245708,45.184557879589256,0.6269786125157488,0.3175927051524667,0.47603980174333616,13.157853967516434,13.56911288425997,4276,1.870650541092301,-0.1626037163901105,-0.03267946698986477,-0.11959516613230069,-0.17860528569075826,-1.3136070452822888,34.0,14.0,dome,,Brad Allen,Sunday,20:20,20.0,False,1.0,0.0,15.993700089754292,0.0,0.0,0.0,0.0,0.0,True,7,7,0.0,0.0,0.0,1.0,1.0,0.0,1,0.0,5.493700089754292,0.01857603310036636,0.0728100913479199,0.0,0.9375,2.388888888888889,0.536144578313253,15.993700089754292,10.5
2021_02_HOU_CLE,2021,REG,CLE,HOU,25.90297408460723,23.202507670646913,13.5,48.5,0.08356522242893827,0.014062308841906068,1.0,2.700466413960317,49.10548175525415,0.5893300736640931,0.20685888008465386,0.5178283721723239,13.180382526756599,13.544245042676641,4308,1.8522350907658656,-0.25644108722611725,0.018774522866097945,-0.1190995858134573,-0.17246793225919532,-1.306767513076103,31.0,21.0,outdoors,75.0,Brad Rogers,Sunday,13:00,10.0,False,-1.0,1.0,7.299533586039683,0.0,0.0,0.0,0.0,0.0,True,7,7,12.0,0.0,0.0,0.0,0.0,0.0,2,1.0,10.799533586039683,0.014062308841906068,0.08356522242893827,0.0,0.47560975609756095,1.8529411764705883,0.4931506849315068,7.299533586039683,-3.5
