stat,variant,mae_2019-22,mae_2023-25,n_2019-22,n_2023-25,fitted
rec_yards,K100_W0.5,19.5,18.5,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,K200_W0.0,19.55,18.58,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,K200_W0.25,19.52,18.54,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,K200_W0.5,19.54,18.55,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,K400_W0.0,19.68,18.7,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,K400_W0.25,19.63,18.64,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rec_yards,K400_W0.5,19.62,18.63,16089,12399,"{'wind_c': -0.005000000000000011, 'windlin_c': -0.004000000000000014, 'qb_level_c': 0.5, 'qb_change_c': 1.0, 'home_c': 0.04000000000000001}"
rush_yards,base,18.36,17.6,7554,6012,{'home_c': 0.060000000000000026}
rush_yards,pace25,18.32,17.58,7554,6012,{'home_c': 0.060000000000000026}
rush_yards,pace50,18.32,17.59,7554,6012,{'home_c': 0.060000000000000026}
rush_yards,own_prior,18.35,17.6,7554,6012,{'home_c': 0.060000000000000026}
rush_yards,home,18.37,17.62,7554,6012,{'home_c': 0.060000000000000026}
rush_yards,K15_W0.0,18.39,17.61,7554,6012,{'home_c': 0.060000000000000026}
rush_yards,K15_W0.25,18.36,17.6,7554,6012,{'home_c': 0.060000000000000026}
rush_yards,K15_W0.5,18.34,17.61,7554,6012,{'home_c': 0.060000000000000026}
rush_yards,K25_W0.0,18.39,17.61,7554,6012,{'home_c': 0.060000000000000026}
