market,cut,window,wins,losses,pct,roi
spread,5.5,2023,1,0,1.0,1.0
spread,5.5,2024,4,1,0.8,0.58
spread,5.5,2025,6,3,0.667,0.3
spread,5.5,2026,0,1,0.0,-1.1
total,5.5,2019-22,34,21,0.618,0.198
total,5.5,2023-25,8,8,0.5,-0.05
total,5.5,all,42,29,0.592,0.142
total,5.5,2015-18,24,19,0.558,0.072
total,5.5,2015,8,5,0.615,0.192
total,5.5,2016,9,5,0.643,0.25
total,5.5,2017,1,2,0.333,-0.4
total,5.5,2018,6,7,0.462,-0.131
total,5.5,2019,3,3,0.5,-0.05
total,5.5,2020,17,3,0.85,0.685
total,5.5,2021,9,11,0.45,-0.155
total,5.5,2022,5,4,0.556,0.067
total,5.5,2023,0,4,0.0,-1.1
total,5.5,2024,6,4,0.6,0.16
total,5.5,2025,2,0,1.0,1.0
total,5.5,2026,0,4,0.0,-1.1
spread,6.0,2019-22,15,12,0.556,0.067
spread,6.0,2023-25,8,3,0.727,0.427
spread,6.0,all,23,15,0.605,0.171
spread,6.0,2015-18,7,10,0.412,-0.235
spread,6.0,2015,2,1,0.667,0.3
spread,6.0,2016,0,3,0.0,-1.1
spread,6.0,2017,3,5,0.375,-0.312
spread,6.0,2018,2,1,0.667,0.3
spread,6.0,2019,7,3,0.7,0.37
spread,6.0,2020,3,3,0.5,-0.05
spread,6.0,2021,2,2,0.5,-0.05
spread,6.0,2022,3,4,0.429,-0.2
spread,6.0,2023,1,0,1.0,1.0
spread,6.0,2024,2,1,0.667,0.3
spread,6.0,2025,5,2,0.714,0.4
spread,6.0,2026,0,1,0.0,-1.1
total,6.0,2019-22,21,17,0.553,0.061
total,6.0,2023-25,3,5,0.375,-0.312
total,6.0,all,24,22,0.522,-0.004
total,6.0,2015-18,19,14,0.576,0.109
total,6.0,2015,7,5,0.583,0.125
total,6.0,2016,8,3,0.727,0.427
total,6.0,2017,1,1,0.5,-0.05
total,6.0,2018,3,5,0.375,-0.312
total,6.0,2019,1,2,0.333,-0.4
total,6.0,2020,10,3,0.769,0.515
total,6.0,2021,8,8,0.5,-0.05
total,6.0,2022,2,4,0.333,-0.4
total,6.0,2023,0,1,0.0,-1.1
total,6.0,2024,2,4,0.333,-0.4
total,6.0,2025,1,0,1.0,1.0
total,6.0,2026,0,2,0.0,-1.1
spread,7.0,2019-22,5,5,0.5,-0.05
spread,7.0,2023-25,4,0,1.0,1.0
spread,7.0,all,9,5,0.643,0.25
spread,7.0,2015-18,1,6,0.143,-0.8
spread,7.0,2015,0,1,0.0,-1.1
spread,7.0,2016,0,3,0.0,-1.1
spread,7.0,2017,0,2,0.0,-1.1
spread,7.0,2018,1,0,1.0,1.0
spread,7.0,2019,2,2,0.5,-0.05
spread,7.0,2020,2,2,0.5,-0.05
spread,7.0,2021,1,0,1.0,1.0
spread,7.0,2022,0,1,0.0,-1.1
spread,7.0,2023,0,0,,
spread,7.0,2024,2,0,1.0,1.0
spread,7.0,2025,2,0,1.0,1.0
spread,7.0,2026,0,1,0.0,-1.1
total,7.0,2019-22,10,9,0.526,0.005
total,7.0,2023-25,0,1,0.0,-1.1
total,7.0,all,10,10,0.5,-0.05
total,7.0,2015-18,13,6,0.684,0.337
total,7.0,2015,6,3,0.667,0.3
total,7.0,2016,7,1,0.875,0.738
total,7.0,2017,0,0,,
total,7.0,2018,0,2,0.0,-1.1
total,7.0,2019,1,1,0.5,-0.05
total,7.0,2020,3,3,0.5,-0.05
total,7.0,2021,4,3,0.571,0.1
total,7.0,2022,2,2,0.5,-0.05
total,7.0,2023,0,0,,
total,7.0,2024,0,1,0.0,-1.1
total,7.0,2025,0,0,,
total,7.0,2026,0,0,,
