season,group,variant,n_pool,n_ap,median_rank,in_top10,pct,window
2022,LB,"per target coverage + run/rush share 1.0, 0.99",72,6,7.0,4,0.8125,2019-22
2022,LB,"per snap, every part, 0.99 / 1.0",72,6,12.5,3,0.75,2019-22
2022,LB,"per snap, run stops x2, 0.92 / 0.8",72,6,13.0,3,0.7569444444444443,2019-22
2022,LB,"per snap, run stops x2, 0.98 / 0.9",72,6,16.5,3,0.7476851851851852,2019-22
2022,LB,"per snap, every part + credited plays, 0.92 / 0.8",72,6,13.0,2,0.7245370370370371,2019-22
2022,LB,"per snap, every part + credited plays, 0.98 / 0.9",72,6,12.0,2,0.6921296296296297,2019-22
2022,LB,"per snap, every part + tackles x0.3, 0.98 / 0.9",72,6,13.0,3,0.7754629629629629,2019-22
2022,LB,"per snap, every part + tackles x0.1, 0.92 / 0.8",72,6,12.5,3,0.7638888888888888,2019-22
2022,LB,"per snap, every part + tackles x0.1, 0.98 / 0.9",72,6,13.5,3,0.7638888888888888,2019-22
2022,LB,"per snap, every part + tackles x0.2, 0.92 / 0.8",72,6,12.0,3,0.761574074074074,2019-22
2022,LB,"per snap, every part + tackles x0.2, 0.98 / 0.9",72,6,15.0,3,0.7754629629629631,2019-22
2022,LB,"per snap, every part + tackles x0.5, 0.92 / 0.8",72,6,12.5,3,0.7615740740740741,2019-22
2022,LB,"per snap, every part + tackles x0.5, 0.98 / 0.9",72,6,12.0,3,0.7754629629629629,2019-22
2022,LB,"per snap, every part + tackles x0.75, 0.92 / 0.8",72,6,13.5,3,0.7615740740740741,2019-22
2022,LB,"per snap, every part + tackles x0.75, 0.98 / 0.9",72,6,11.5,3,0.7870370370370369,2019-22
2022,LB,"per snap, every part + tackles x1.0, 0.92 / 0.8",72,6,14.5,2,0.7592592592592592,2019-22
2022,LB,"per snap, every part + tackles x1.0, 0.98 / 0.9",72,6,11.0,3,0.7916666666666666,2019-22
2022,LB,"per snap, every part + tackles x1.5, 0.92 / 0.8",72,6,15.5,1,0.7476851851851852,2019-22
2022,LB,"per snap, every part + tackles x1.5, 0.98 / 0.9",72,6,10.5,3,0.7962962962962963,2019-22
2022,LB,"per snap, every part + tackles x0.3, 0.92 / 0.8",72,6,11.5,3,0.7638888888888888,2019-22
2023,LB,"per snap, every part, 0.92 / 0.8 (page now)",74,6,19.5,1,0.7229729729729729,2023-25
2023,LB,"per snap, every part, 0.98 / 0.9",74,6,15.5,2,0.7522522522522523,2023-25
2023,LB,"per snap, no forced fumbles, 0.92 / 0.8",74,6,24.5,1,0.6846846846846847,2023-25
2023,LB,"per snap, coverage + rush only, 0.92 / 0.8",74,6,16.5,1,0.6283783783783784,2023-25
2023,LB,"per target coverage, 0.99 (CB page now)",74,6,6.5,4,0.7635135135135136,2023-25
2023,LB,"per target coverage + run/rush share 0.5, 0.99",74,6,7.5,4,0.7972972972972973,2023-25
2023,LB,"per target coverage + run/rush share 1.0, 0.99",74,6,12.0,3,0.8040540540540541,2023-25
2023,LB,"per snap, every part, 0.99 / 1.0",74,6,12.5,2,0.7567567567567567,2023-25
2023,LB,"per snap, run stops x2, 0.92 / 0.8",74,6,16.5,1,0.7364864864864865,2023-25
2023,LB,"per snap, run stops x2, 0.98 / 0.9",74,6,19.5,1,0.740990990990991,2023-25
2023,LB,"per snap, every part + credited plays, 0.92 / 0.8",74,6,25.0,2,0.6576576576576576,2023-25
2023,LB,"per snap, every part + credited plays, 0.98 / 0.9",74,6,17.0,1,0.7072072072072072,2023-25
2023,LB,"per snap, every part + tackles x0.3, 0.98 / 0.9",74,6,16.5,2,0.7702702702702703,2023-25
2023,LB,"per snap, every part + tackles x0.1, 0.92 / 0.8",74,6,20.0,1,0.7342342342342344,2023-25
2023,LB,"per snap, every part + tackles x0.1, 0.98 / 0.9",74,6,15.0,2,0.7522522522522522,2023-25
2023,LB,"per snap, every part + tackles x0.2, 0.92 / 0.8",74,6,20.5,1,0.7477477477477477,2023-25
2023,LB,"per snap, every part + tackles x0.2, 0.98 / 0.9",74,6,16.0,2,0.7635135135135136,2023-25
2023,LB,"per snap, every part + tackles x0.5, 0.92 / 0.8",74,6,18.5,2,0.7792792792792794,2023-25
2023,LB,"per snap, every part + tackles x0.5, 0.98 / 0.9",74,6,15.5,3,0.7792792792792794,2023-25
2023,LB,"per snap, every part + tackles x0.75, 0.92 / 0.8",74,6,17.0,2,0.786036036036036,2023-25
2023,LB,"per snap, every part + tackles x0.75, 0.98 / 0.9",74,6,14.5,3,0.7545045045045043,2023-25
2023,LB,"per snap, every part + tackles x1.0, 0.92 / 0.8",74,6,16.0,2,0.7815315315315315,2023-25
2023,LB,"per snap, every part + tackles x1.0, 0.98 / 0.9",74,6,13.0,3,0.7499999999999999,2023-25
2023,LB,"per snap, every part + tackles x1.5, 0.92 / 0.8",74,6,13.5,2,0.7702702702702703,2023-25
2023,LB,"per snap, every part + tackles x1.5, 0.98 / 0.9",74,6,13.0,3,0.7409909909909911,2023-25
2023,LB,"per snap, every part + tackles x0.3, 0.92 / 0.8",74,6,21.5,1,0.7522522522522522,2023-25
2024,LB,"per snap, every part, 0.92 / 0.8 (page now)",71,6,13.5,3,0.7582159624413145,2023-25
2024,LB,"per snap, every part, 0.98 / 0.9",71,6,11.0,3,0.8333333333333334,2023-25
2024,LB,"per snap, no forced fumbles, 0.92 / 0.8",71,6,13.5,3,0.7582159624413145,2023-25
2024,LB,"per snap, coverage + rush only, 0.92 / 0.8",71,6,30.0,2,0.6079812206572771,2023-25
2024,LB,"per target coverage, 0.99 (CB page now)",71,6,13.0,2,0.7276995305164319,2023-25
2024,LB,"per target coverage + run/rush share 0.5, 0.99",71,6,8.5,3,0.8262910798122065,2023-25
2024,LB,"per target coverage + run/rush share 1.0, 0.99",71,6,13.0,2,0.8450704225352114,2023-25
2024,LB,"per snap, every part, 0.99 / 1.0",71,6,10.0,3,0.852112676056338,2023-25
2024,LB,"per snap, run stops x2, 0.92 / 0.8",71,6,10.5,3,0.7816901408450704,2023-25
2024,LB,"per snap, run stops x2, 0.98 / 0.9",71,6,10.5,3,0.8474178403755869,2023-25
2024,LB,"per snap, every part + credited plays, 0.92 / 0.8",71,6,18.0,2,0.7887323943661971,2023-25
2024,LB,"per snap, every part + credited plays, 0.98 / 0.9",71,6,14.5,3,0.8051643192488264,2023-25
2024,LB,"per snap, every part + tackles x0.3, 0.98 / 0.9",71,6,8.0,4,0.8732394366197184,2023-25
2024,LB,"per snap, every part + tackles x0.1, 0.92 / 0.8",71,6,14.0,3,0.7699530516431925,2023-25
2024,LB,"per snap, every part + tackles x0.1, 0.98 / 0.9",71,6,9.5,4,0.8497652582159625,2023-25
2024,LB,"per snap, every part + tackles x0.2, 0.92 / 0.8",71,6,14.0,3,0.7840375586854459,2023-25
2024,LB,"per snap, every part + tackles x0.2, 0.98 / 0.9",71,6,7.5,4,0.875586854460094,2023-25
2024,LB,"per snap, every part + tackles x0.5, 0.92 / 0.8",71,6,19.0,2,0.7910798122065726,2023-25
2024,LB,"per snap, every part + tackles x0.5, 0.98 / 0.9",71,6,10.0,3,0.8802816901408453,2023-25
2024,LB,"per snap, every part + tackles x0.75, 0.92 / 0.8",71,6,18.0,2,0.7863849765258216,2023-25
2024,LB,"per snap, every part + tackles x0.75, 0.98 / 0.9",71,6,7.5,4,0.892018779342723,2023-25
2024,LB,"per snap, every part + tackles x1.0, 0.92 / 0.8",71,6,17.0,2,0.7934272300469484,2023-25
2024,LB,"per snap, every part + tackles x1.0, 0.98 / 0.9",71,6,6.5,4,0.8802816901408451,2023-25
