ts,season,week,rows,errors
2026-09-23T22-35-41Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-23T23-27-06Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-24T00-13-18Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-24T00-24-12Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-24T00-30-19Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-24T01-01-33Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-24T01-18-58Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-24T01-40-41Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-24T02-11-07Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-24T02-20-25Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
